"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0T9A0","2020-05-28 00:00:00","498.000","0.000","0.000","20.800","0.990","957.100","","28.500","-99.000","-99.000","-99.000","25.600","","20.800",""
"C0AH40","2020-05-28 00:00:00","426.000","25.000","1.700","21.300","0.970","961.200","","21.500","-99.000","-99.000","-99.000","25.500","","20.900",""
"C0X280","2020-05-28 00:00:00","22.000","193.000","2.300","27.100","0.940","1008.700","","32.500","-99.000","-99.000","-99.000","30.600","","24.500",""
"C0V620","2020-05-28 00:00:00","18.000","154.000","1.200","26.800","0.990","1008.900","","144.000","-99.000","-99.000","-99.000","29.400","","23.700",""
"C0H960","2020-05-28 00:00:00","120.000","191.000","1.200","25.500","1.000","995.600","","39.500","-99.000","-99.000","-99.000","27.300","","24.500",""
"C0M530","2020-05-28 00:00:00","1385.000","176.000","1.100","19.700","0.950","868.900","","8.000","-99.000","-99.000","-99.000","22.400","","18.000",""
"C0R170","2020-05-28 00:00:00","26.000","139.000","0.800","25.800","1.000","1008.200","","0.000","-99.000","-99.000","-99.000","28.400","","25.800",""
"C0I420","2020-05-28 00:00:00","305.000","0.000","0.000","22.900","0.990","976.700","","56.500","-99.000","-99.000","-99.000","27.700","","22.500",""
"C0A640","2020-05-28 00:00:00","241.000","0.000","0.000","20.800","0.970","986.800","","3.500","-99.000","-99.000","-99.000","23.800","","20.800",""
"C0A930","2020-05-28 00:00:00","216.000","173.000","1.500","21.200","0.990","986.100","","95.500","-99.000","-99.000","-99.000","26.400","","20.800",""
"C0F9M0","2020-05-28 00:00:00","230.000","174.000","1.200","24.900","0.950","984.200","","58.000","-99.000","-99.000","-99.000","26.700","","23.900",""
"C0AC40","2020-05-28 00:00:00","1079.000","64.000","1.100","17.600","0.990","893.100","","58.500","-99.000","-99.000","-99.000","22.200","","17.200",""
"C0AI00","2020-05-28 00:00:00","188.000","62.000","0.800","21.800","0.990","991.300","","26.000","-99.000","-99.000","-99.000","26.600","","21.700",""
"C0T9M0","2020-05-28 00:00:00","92.000","1.000","0.700","23.600","1.000","1003.500","","4.500","-99.000","-99.000","-99.000","28.200","","23.500",""
"C0S960","2020-05-28 00:00:00","32.000","3.000","0.600","25.800","0.900","1008.300","","29.000","-99.000","-99.000","-99.000","27.400","","24.000",""
